INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
36,25,EMU_1833-73,69802,0,69801,OBSERVED,18 33 18.344,-73 38 12.38,278.326433333333,-73.6367722222222,320.936959932992,-24.6893236067187,37.006,5241810261.27091,36001.0137601178,36001.01376,36,5241868965.038528,133043834,15.000000000000012,15.000000000000012,0.0,-0.0500512532889843,3.1956591606140137,39.51985195135522,39.34022519611677,20.38570192290103,25.28061762485264,550.3927843052869,5241916322,4536,1,0,0,,0,1.0,--NULL--
37,26,EMU_1849-79,70454,0,70460,OBSERVED,18 49 10.328,-78 57 10.22,282.293033333333,-78.9528388888889,315.292352338903,-26.4776309788828,32.928,5244655881.572735,36001.0137601178,36001.01376,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
38,26,EMU_1849-79,70569,0,70568,OBSERVED,18 49 10.328,-78 57 10.22,282.293033333333,-78.9528388888889,315.292352338903,-26.4776309788828,32.928,5245608841.00339,36010.96703961304,36010.96704,36,5245708420.5743265,133484335,15.000000000000012,15.000000000000012,0.0,-0.005011212546378374,1.1312248706817627,34.15913702029489,33.572863719511545,15.428389421319203,23.972934223794336,798.9143922295369,5245770554,4536,1,0,0,,0,1.0,--NULL--
39,27,EMU_1933-84,71680,0,71681,OBSERVED,19 33 49.233,-84 07 01.029,293.4551375,-84.1169525,309.487560271041,-28.0574003348434,21.655,5248253016.65011,36010.96703961304,36010.96704,36,5248330108.297974,133299836,15.000000000000012,15.000000000000012,0.0,-0.002195072825998068,0.9311602711677551,36.52662379022348,36.14227117429558,15.390224135902237,24.47105507836508,1048.9568063468735,5248378297,4536,1,0,0,,0,1.0,--NULL--
40,28,EMU_0000-87,-1,0,-1,__NULL__,00 00 00,-87 39 42.58,0.0,-87.6618277777778,303.52911905261,-29.4065119437026,-45.0,5118192174.03533,895.795199898987,895.7952,36,5165896345.703,120459434,19.5,18.3,-68.92,-0.0109716672450304,0.693736851215363,215.416194952533,200.700576739579,201.107805279947,142.247868079093,1898.55932146642,5166412573,4536,1,0,0,,-1,1.0,--NULL--
41,29,EMU_0426-84,-1,0,-1,__NULL__,04 26 10.766,-84 07 01.029,66.5448583333333,-84.1169525,297.431187751933,-30.5044799038369,-111.655,5119238318.61696,915.70175984314,915.70176,36,5165886842.098,125103750,18.7,11.5,-11.39,-0.0302509758621454,0.734965026378632,194.708908284656,183.987292312369,129.964524258843,129.424053443813,2021.16216457358,5166416687,4536,1,0,0,,-1,1.0,--NULL--
42,30,EMU_0510-79,-1,0,-1,__NULL__,05 10 49.671,-78 57 10.22,77.7069625,-78.9528388888889,291.215770413489,-31.3334226043884,-122.928,5118379267.83014,895.795199898987,895.7952,36,5165881039.82,125864253,16.5,9.0,-12.11,-0.00683932937681675,1.52217376232147,193.298739976932,183.025719009534,138.478225498067,139.940230735061,1603.80175274509,5166408518,4536,1,0,0,,-1,1.0,--NULL--
43,31,EMU_0526-73,70406,0,70404,IMAGED,05 26 41.655,-73 38 12.38,81.6735625,-73.6367722222222,284.912184888725,-31.8790418801235,-127.006,5244432400.023934,36010.96703961304,36010.96704,36,5244486495.132126,133937779,15.000000000000012,15.000000000000012,0.0,-0.010007579810917377,1.41009521484375,37.00000582313962,36.77307586206776,47.46019865970156,24.714754456674903,2524.7418097516534,5244512074,4536,1,0,0,,0,1.0,--NULL--
44,32,EMU_0526-73,46978,0,46969,OBSERVED,05 26 41.655,-73 38 12.38,81.6735625,-73.6367722222222,284.912184888725,-31.8790418801235,-127.006,5179380944.449919,36010.96703961304,36010.96704,36,5181978349.671892,134773169,15.000000000000012,15.000000000000012,0.0,-0.01222316361963749,1.5035195350646973,31.386893355819893,31.22841301805019,48.30767021926367,20.83514159126932,2662.021159065309,5182061294,4536,1,0,0,,0,1.0,--NULL--
45,33,EMU_1934-72,70340,0,70320,OBSERVED,19 34 48.396,-72 19 38.12,293.70165,-72.3272555555556,322.87012367945,-29.0312503691587,22.301,5243786781.180286,36010.96703961304,36010.96704,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,-1,1.0,--NULL--
